File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::bottom_hook( int *hdiff ) const,45,43,31,18,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,"delete_hole( std::vector< Bitmap * > & holep_vector, std::vector< Bitmap * > & v1, std::vector< Bitmap * > & v2, Bitmap * const p, int i )",9,8,8,2,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,"join_holes( std::vector< Bitmap * > & holep_vector, std::vector< Bitmap * > & v1, std::vector< Bitmap * > & v2, Bitmap * p1, Bitmap * p2, int i )",15,13,11,3,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,"delete_outer_holes( const Rectangle & re, std::vector< Bitmap * > & holepv )",7,7,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::Blob( const Blob & b ),3,3,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::operator=( const Blob & b ),10,10,7,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::~Blob(),2,2,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::left( const int l ),3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::top( const int t ),3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::right( const int r ),3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::bottom( const int b ),3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::hole( const int i ) const,4,4,3,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,"Blob::id( const int row, const int col ) const",9,9,5,6,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::test_BD() const,11,11,6,5,0,1,0,5,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::test_Q() const,19,19,12,7,0,1,0,5,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::print( FILE * const outfile ) const,11,11,7,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::fill_hole( const int i ),6,6,5,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,Blob::find_holes(),70,56,35,12,3,3,11,83,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::Character( const Character & c ),3,3,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::operator=( const Character & c ),11,11,8,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::~Character(),2,2,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::area() const,4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::blob( const int i ) const,4,4,3,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::blob( const int i ),4,4,3,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::main_blob(),6,6,4,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::shift_blobp( Blob * const p ),10,10,8,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,"Character::insert_guess( const int i, const int code, const int value )",4,4,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::delete_guess( const int i ),4,4,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,"Character::set_merged_guess( const int code1, const int right1, const int code2, const int blob_index )",11,11,9,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,"Character::swap_guesses( const int i, const int j )",5,5,4,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::guess( const int i ) const,4,4,3,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::maybe( const int code ) const,4,4,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::join( Character & c ),3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::byte_result() const,7,7,5,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::utf8_result() const,7,7,5,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::print( const Control & control ) const,12,12,7,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,"Character::dprint( const Control & control, const Rectangle & charbox, const bool graph, const bool recursive ) const",82,76,50,24,6,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::xprint( const Control & control ) const,15,14,8,3,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,Character::apply_filter( const Filter & filter ),36,35,18,15,1,1,0,3,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,"Character::recognize1( const Charset & charset, const Rectangle & charbox )",4,4,4,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,"Character::recognize11( const Charset & charset, const Rectangle & charbox )",5,5,5,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,"Character::recognize110( const Charset & charset, const Rectangle & charbox )",155,151,82,44,4,8,0,41,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,"Character::recognize111( const Charset & charset, const Rectangle & charbox )",44,41,27,10,3,3,0,10,
