File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textblock.cc,472,381,213,96,55,5,36,248,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textline.cc,346,261,152,72,64,1,21,141,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textline_r2.cc,791,690,376,204,41,6,60,459,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\textpage.cc,545,458,262,120,66,8,21,164,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\track.cc,330,257,149,68,52,1,21,139,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ucs.cc,392,333,204,67,42,8,17,139,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.h,107,41,28,2,13,2,53,420,49,363
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.h,70,43,39,0,8,2,19,142,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.h,62,34,29,0,10,1,18,138,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.h,90,55,44,0,13,2,22,153,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.h,95,58,42,0,20,1,17,126,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.h,63,35,33,0,10,3,18,144,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.h,53,26,22,0,9,1,18,131,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.h,115,50,31,0,32,8,33,286,26,205
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\page_image.h,88,55,47,0,13,6,20,174,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\profile.h,71,44,40,0,8,1,19,145,17,123
